census_tract,population
17-031-252102,6438
17-031-252101,1370
17-031-252000,5719
17-031-251900,5731
17-031-251800,5112
17-031-251700,1495
17-031-251600,3649
17-031-251500,4784
17-031-251400,3983
17-031-251300,4921
17-031-251200,4196
17-031-251100,4302
17-031-251000,1181
17-031-250800,2488
17-031-250700,6098
17-031-250600,4422
17-031-250500,7538
17-031-250400,5887
17-031-250300,4725
17-031-250200,2669
17-031-243500,2937
17-031-243400,3001
17-031-243300,2386
17-031-243200,2170
17-031-243100,2242
17-031-243000,2204
17-031-242900,1670
17-031-242800,1436
17-031-242700,2029
17-031-242600,5831
17-031-242500,3438
17-031-242400,2764
17-031-242300,3240
17-031-242200,3590
17-031-242100,3648
17-031-242000,4565
17-031-241600,3477
17-031-241500,2872
17-031-241400,4595
17-031-241300,1857
17-031-241200,1696
17-031-241100,3682
17-031-241000,2047
17-031-240900,1182
17-031-240800,1617
17-031-240700,1535
17-031-240600,1457
17-031-240500,2251
17-031-240300,1317
17-031-240200,1452
17-031-231500,6039
17-031-231200,6095
17-031-231100,1236
17-031-230900,5399
17-031-230800,1314
17-031-230700,6364
17-031-230600,6818
17-031-230500,3570
17-031-230400,2609
17-031-230300,1024
17-031-230200,2107
17-031-230100,1623
17-031-222900,1244
17-031-222800,1074
17-031-222700,2235
17-031-222600,1602
17-031-222500,1410
17-031-222200,1912
17-031-221600,2969
17-031-221500,2829
17-031-221400,3020
17-031-221300,3222
17-031-221200,2860
17-031-221100,4870
17-031-221000,2923
17-031-220902,3371
17-031-220901,3498
17-031-220702,4060
17-031-220701,3437
17-031-220602,5064
17-031-220601,1766
17-031-220500,2626
17-031-220400,2495
17-031-220300,2102
17-031-210900,3068
17-031-210800,1196
17-031-210700,4309
17-031-210602,4683
17-031-210601,3104
17-031-210502,4486
17-031-210501,3900
17-031-210400,3035
17-031-210100,4028
17-031-200402,4396
17-031-200401,3603
17-031-200300,2209
17-031-200200,5427
17-031-200100,4354
17-031-191302,5034
17-031-191301,5397
17-031-191200,3853
17-031-191100,7414
17-031-191000,2559
17-031-190900,2040
17-031-190800,6632
17-031-190702,4869
17-031-190701,2955
17-031-190602,5516
17-031-190601,4545
17-031-190402,5458
17-031-190401,4257
17-031-190300,5794
17-031-190200,5853
17-031-190100,2488
17-031-180100,6156
17-031-171100,4110
17-031-171000,7287
17-031-170900,1713
17-031-170800,3721
17-031-170700,2980
17-031-170600,2498
17-031-170500,4980
17-031-170400,3870
17-031-170300,5129
17-031-170200,3892
17-031-170100,1752
17-031-161300,4117
17-031-161200,2930
17-031-161100,1861
17-031-161000,1707
17-031-160900,2405
17-031-160800,5148
17-031-160700,5893
17-031-160602,3589
17-031-160601,3490
17-031-160502,3550
17-031-160501,4188
17-031-160400,4768
17-031-160300,3785
17-031-160200,3443
